By, 來自
Cancel, 取消
Click to comment, 點擊發表評論
Commented on post, 評論已經發表文章
Comments, 評論
Content, 內容
Custom Slug, 自定義URL
Date, 日期
Delete, 刪除
Delete comment, 删除評論
Delete post, 删除文章
Do you want to delete this comment, 你真的要刪除這個評論嗎？
Do you want to delete this post, 你真的要刪除這篇文章嗎？
Edit, 編輯
Edit comment, 編輯評論
Edit post, 編輯文章
Email, 電子郵箱
Email address already registered, 該電子郵箱地址已經被註冊
Email address is required, 電子郵箱地址是必填項
Full Name, 完整姓名
Home, 主頁
Incorrect user/password combination or invalid account, 不正確的用戶名/密碼組合或者無效帳戶
Invalid arguments, 無效的參數
List posts, 文章列表
Login, 登入
Logout, 登出
Name, 名字
Next, 下一個
Next post, 下一篇文章
New comment, 新評論
No one has commented yet, 暫時沒有任何評論
No one has posted yet, 暫時沒有任何文章
No one has added any tags yet, 暫時沒有任何標籤
Page not found, 頁面找不到了╯﹏╰
Password, 密碼
Posted, 發表於
Prev, 上一個
Previous post, 前一篇文章
Published, 發佈
Recent comments, 最新評論
Recent posts, 最新文章
Register, 註冊
Request a new password, 申請修改密碼
Reset password, 重置密碼
RSS Syndication, RSS聚合
says, 說
Search, 搜索
Search results for, 搜索結果
Slug, URL
Status, 狀態
Submit comment, 提交評論
Tag, 標籤
Tags, 標籤
Tag cloud, 標籤雲
Third-party login, 第三方登陸
Text Type, 文本類型
Title, 標題
Unpublished, 草稿
User does not exist, 該用戶不存在
View more tags, 瀏覽更多標籤
Vote, 頂
Write a new post, 發表新文章
